Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Longitude,Latitude
212064,2021,08/10/2022,Waterbury,106 LAMONT ST,80490.00,255000.00,0.3156,Residential,Single Family,,,,POINT (-73.018239985 41.571014981),-73.018239985,41.571014981
210901,2021,08/18/2022,Norwich,150 YANTIC ST #163,50900.00,135000.00,0.377,Residential,Condo,,,,POINT (-72.085816754 41.534144059),-72.085816754,41.534144059
2100323,2021,09/06/2022,Seymour,249 ROOSEVELT DR,11760.00,48000.00,0.245,Vacant Land,,25 - Other,ALSO BOUGHT 248 ROOSEVELT DR,,POINT (-73.137812498 41.358522629),-73.137812498,41.358522629
21117,2021,07/26/2022,North Stonington,339 NRWH WSTLY RD,40460.00,358250.00,0.1129,Residential,Condo,07 - Change in Property,LAND ONLY 10/1/2021,,POINT (-71.90452 41.45301),-71.90452,41.45301
21074,2021,11/15/2021,Southbury,552 A HERITAGE VILLAGE,91320.00,289900.00,0.315,Residential,Condo,,,,POINT (-73.225939019 41.482863008),-73.225939019,41.482863008
211237,2021,08/22/2022,New Haven,18 ROCK ST,78050.00,74000.00,1.0547,Residential,Single Family,,,,POINT (-72.898085989 41.321010008),-72.898085989,41.321010008
210218,2021,02/09/2022,Newington,77 CEDAR RIDGE RD,130860.00,275000.00,0.4758,Residential,Single Family,,,,POINT (-72.719668966 41.715091011),-72.719668966,41.715091011
2100498,2021,02/17/2022,Stratford,74B RIVER BEND ROAD,138460.00,290000.00,0.4774,Residential,Condo,,,,POINT (-73.11058601 41.264731018),-73.11058601,41.264731018
211555,2021,08/30/2022,Norwalk,16 LEDGE RD,393060.00,650000.00,0.6047,Residential,Single Family,,,,POINT (-73.438520009 41.075131991),-73.438520009,41.075131991
2101552,2021,05/18/2022,Stamford,105 HARBOR DRIVE #108,277370.00,508000.00,0.546,Residential,Condo,25 - Other,MULTIPLE PARCEL SALE,,POINT (-73.531043983 41.046005004),-73.531043983,41.046005004
210085,2021,03/18/2022,Old Lyme,453 SHORE RD,202000.00,440000.00,0.459,Residential,Single Family,,,,POINT (-72.255412029 41.308375002),-72.255412029,41.308375002
2102008,2021,07/21/2022,Stamford,107 VIRGIL STREET UNIT F,213910.00,430000.00,0.4974,Residential,Condo,,,,POINT (-73.554897035 41.051883987),-73.554897035,41.051883987
210291,2021,04/18/2022,New London,63 BECKWITH ST,100100.00,245000.00,0.4085,Residential,Single Family,,,,POINT (-72.111308003 41.342621991),-72.111308003,41.342621991
210127,2021,06/29/2022,Somers,255 GEORGE WOOD RD,60000.00,92000.00,0.6521,Vacant Land,,,,,POINT (-72.500272562 42.006219372),-72.500272562,42.006219372
210240,2021,10/29/2021,Waterbury,85 QUENTIN ST,68080.00,186000.00,0.366,Residential,Single Family,,,,POINT (-73.031197988 41.519847988),-73.031197988,41.519847988
210105,2021,09/21/2022,Sterling,190 MAIN ST,111690.00,245000.00,0.4558,Residential,Single Family,,CONVENTIONAL BUILT 1900 ON 1 ACRE,,POINT (-71.832895964 41.713743998),-71.832895964,41.713743998
210067,2021,10/13/2021,Norwalk,7 WESTMERE AVE,863470.00,1950000.00,0.4428,Residential,Single Family,,6-33-58-0,,POINT (-73.43512098 41.059528995),-73.43512098,41.059528995
21509,2021,08/19/2022,Ridgefield,30 GLEN RD,311860.00,619000.00,0.5038,Residential,Condo,,,,POINT (-73.480961022 41.320144996),-73.480961022,41.320144996
211055,2021,03/09/2022,Waterbury,177 BEECHER AVE,70101.00,210000.00,0.3338,Residential,Single Family,,,,POINT (-73.009732018 41.548325001),-73.009732018,41.548325001
210963,2021,09/26/2022,Torrington,35 HAYES ST,76790.00,189900.00,0.4043,Residential,Single Family,,,,POINT (-73.114130969 41.792054987),-73.114130969,41.792054987
2101648,2021,06/03/2022,Stamford,489 NEWFIELD AVENUE,331020.00,65000.00,5.0926,Residential,Single Family,08 - Part Interest,1/3 INTEREST SOLD,,POINT (-73.533381025 41.076673004),-73.533381025,41.076673004
211913,2021,07/25/2022,Waterbury,111 OLDHAM AVE,67100.00,232000.00,0.289224138,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS,POINT (-72.991324017 41.557654017),-72.991324017,41.557654017
211132,2021,07/29/2022,New Haven,17 HURLBURT ST,136395.00,344000.00,0.3964,Residential,Three Family,,,,POINT (-72.936872995 41.291298005),-72.936872995,41.291298005
213338,2021,01/03/2022,North Haven,216 QUINNIPIAC AVE UNIT-216,45760.00,75900.00,0.6028,Residential,Condo,,,,POINT (-72.862679992 41.349815005),-72.862679992,41.349815005
21155,2021,06/07/2022,Thompson,285 OLEARY RD,125350.00,192300.00,0.6518,Residential,Single Family,,,,POINT (-71.835350018 41.949350998),-71.835350018,41.949350998
21181,2021,07/15/2022,Thompson,698 QUINEBAUG RD,187200.00,410000.00,0.4565,Residential,Single Family,,,,POINT (-71.94669698 42.021964012),-71.94669698,42.021964012
21001,2021,10/04/2021,Stafford,62 HIGH ST,116410.00,225000.00,0.5173,Residential,Single Family,,,,POINT (-72.308051818 41.954353985),-72.308051818,41.954353985
211318,2021,07/12/2022,Norwalk,7 IRIS CT,399300.00,775000.00,0.5152,Residential,Single Family,,,,POINT (-73.442889998 41.088992013),-73.442889998,41.088992013
210204,2021,03/07/2022,Simsbury,6 KELSEY COURT,372290.00,625000.00,0.5956,Residential,Condo,,PUD,,POINT (-72.822757993 41.858493011),-72.822757993,41.858493011
213395,2021,03/02/2022,North Haven,19 NORWAY RD,170830.00,401000.00,0.426,Residential,Single Family,,,,POINT (-72.893709965 41.381499982),-72.893709965,41.381499982
211451,2021,05/10/2022,Waterbury,23 WEST LIBERTY ST,55760.00,130000.00,0.428923077,Residential,Three Family,25 - Other,PRIVATE SALE,,POINT (-73.038880002 41.547616018),-73.038880002,41.547616018
21197964,2021,08/10/2022,Redding,80 GOODRIDGE RD,359180.00,1140000.00,0.315070175,Residential,Single Family,28 - Use Assessment,PA 490,,POINT (-73.326298524 41.315083189),-73.326298524,41.315083189
21218,2021,03/11/2022,Southbury,308 HOLLY HILL LANE,449320.00,1270000.00,0.3537,Residential,Single Family,,,,POINT (-73.211299019 41.444040002),-73.211299019,41.444040002
2100146,2021,02/28/2022,Seymour,206 SKOKORAT ST,112350.00,130000.00,0.8642,Residential,Single Family,,,,POINT (-73.049078012 41.420925982),-73.049078012,41.420925982
210294,2021,11/05/2021,Waterbury,93 FAIRVIEW ST,19900.00,154000.00,0.1292,Residential,Three Family,,,,POINT (-73.051435004 41.562230998),-73.051435004,41.562230998
2100772,2021,05/18/2022,Stratford,51 BRIDGEVIEW PLACE,190330.00,365000.00,0.5214,Residential,Single Family,,,,POINT (-73.117852031 41.215090999),-73.117852031,41.215090999
21192,2021,03/29/2022,Plainfield,0 NORWICH RD,78930.00,45000.00,1.754,Vacant Land,,25 - Other,ZONED COMMERCIAL,,POINT (-71.914639146 41.671812001),-71.914639146,41.671812001
210861,2021,08/15/2022,Torrington,335 LEDGE DR,55990.00,159900.00,0.3501,Residential,Condo,,,,POINT (-73.106343007 41.874875986),-73.106343007,41.874875986
210845,2021,08/08/2022,Wallingford,23 GRIEB TRL,148800.00,320000.00,0.465,Residential,Single Family,25 - Other,2 PARCELS TRNSFRD/20 & 23 GRIEB TRL,,POINT (-72.771084985 41.46977299),-72.771084985,41.46977299
216672,2021,09/30/2022,Southbury,398 B HERITAGE VILLAGE,51600.00,145000.00,0.3558,Residential,Condo,,,,POINT (-73.232677986 41.477327012),-73.232677986,41.477327012
210020,2021,09/08/2022,Union,STICKNEY HILL ROAD,9410.00,4667.00,2.0162,Vacant Land,,28 - Use Assessment,PARTIAL INTEREST FAMILY SALE DUE TO WILL,,POINT (-72.199333605 42.001363123),-72.199333605,42.001363123
211006,2021,03/01/2022,Waterbury,56 ESTHER AVE,80210.00,191000.00,0.4199,Residential,Single Family,,,,POINT (-73.058211018 41.530670995),-73.058211018,41.530670995
210433,2021,01/25/2022,New Haven,17 DICKERMAN ST,37590.00,65000.00,0.5783,Residential,Condo,,,,POINT (-72.935621996 41.31548801),-72.935621996,41.31548801
210072,2021,10/26/2021,Southington,1734 MOUNT VERNON RD,147540.00,250000.00,0.5901,Residential,Single Family,,,,POINT (-72.922000984 41.617547996),-72.922000984,41.617547996
210394,2021,01/12/2022,New Haven,64 STANLEY ST,186935.00,336500.00,0.5555,Residential,Three Family,,,,POINT (-72.950905977 41.313414998),-72.950905977,41.313414998
211006,2021,06/28/2022,New Haven,2151 CHAPEL ST,356335.00,580000.00,0.61437069,Residential,Single Family,,,,POINT (-72.970415025 41.317349002),-72.970415025,41.317349002
210312,2021,09/01/2022,Suffield,1047 HALLADAY AVE W,155260.00,287000.00,0.5409,Residential,Single Family,,,,POINT (-72.669218039 42.030551984),-72.669218039,42.030551984
210218,2021,07/22/2022,Rocky Hill,22 HAWTHORNE CIRCLE,447720.00,850000.00,0.5267,Residential,Single Family,,,,POINT (-72.695765329 41.683515962),-72.695765329,41.683515962
210184,2021,08/02/2022,Prospect,8 DAMASE ST,19770.00,48000.00,0.4118,Vacant Land,,,,,POINT (-72.993477999 41.510591014),-72.993477999,41.510591014
210172,2021,10/29/2021,Norwalk,124 DRY HILL RD,339170.00,362000.00,0.9369,Residential,Single Family,08 - Part Interest,5-16-88-0,,POINT (-73.397679019 41.132120006),-73.397679019,41.132120006
210170,2021,05/31/2022,Rocky Hill,44 PHEASANT DRIVE,192010.00,425000.00,0.4517,Residential,Single Family,,,,POINT (-72.658944005 41.671983009),-72.658944005,41.671983009
2100739,2021,01/07/2022,Stamford,60 STRAWBERRY HILL AVE #1107,87830.00,125000.00,0.7026,Residential,Condo,,,,POINT (-73.53338597 41.062373017),-73.53338597,41.062373017
210647,2021,03/28/2022,New Haven,134 MANSFIELD ST,328790.00,635000.00,0.5177,Residential,Three Family,03 - Inter Corporation,,,POINT (-72.926259997 41.318807998),-72.926259997,41.318807998
210065,2021,12/06/2021,Suffield,14 PEBBLESTONE CIR,87430.00,198000.00,0.4415,Residential,Single Family,,,,POINT (-72.61186604 41.990706009),-72.61186604,41.990706009
210009,2021,10/07/2021,New Haven,548 ORANGE ST 404,127960.00,200000.00,0.6398,Residential,Condo,,,,POINT (-72.917351962 41.315194015),-72.917351962,41.315194015
21169,2021,01/24/2022,Southbury,131 PEPPER TREE HILL LANE,208070.00,380500.00,0.5468,Residential,Single Family,,,,POINT (-73.196746024 41.480162987),-73.196746024,41.480162987
